epoch,train_loss,val_loss,train_acc,val_acc
1,2.2611770975416987,2.1157546326265497,0.25181159420289856,0.288135593220339
2,2.0630125705746636,1.9942024279448947,0.3233695652173913,0.3135593220338983
3,2.01150721916254,1.8963835481869973,0.3451086956521739,0.3728813559322034
4,1.9119253383166548,1.918999316328663,0.3704710144927536,0.3686440677966102
5,1.8734459790630618,1.7604300793954881,0.39945652173913043,0.3940677966101695
6,1.811489841212397,1.7603559696068198,0.4157608695652174,0.4194915254237288
7,1.746333854785864,1.594015495251801,0.43478260869565216,0.4279661016949153
8,1.7024468529051628,1.6496534973888073,0.4365942028985507,0.4322033898305085
9,1.6387950233791186,1.6537036956366846,0.4601449275362319,0.4788135593220339
10,1.59498073225436,1.5432613259654935,0.48731884057971014,0.538135593220339
11,1.577568785003994,1.5317302214897286,0.47282608695652173,0.538135593220339
12,1.5468489640000938,1.629567889843957,0.4963768115942029,0.4872881355932203
13,1.549044724823772,1.4350896972720906,0.4963768115942029,0.5466101694915254
14,1.4628846247990925,1.4232610201431533,0.5226449275362319,0.5508474576271186
15,1.4446127872536147,1.400161157220097,0.5344202898550725,0.559322033898305
16,1.3817055285840794,1.4797378879482463,0.5452898550724637,0.5169491525423728
17,1.4441666948622551,1.4449920618938188,0.5335144927536232,0.5254237288135594
18,1.3762360482976057,1.303741622779329,0.5461956521739131,0.614406779661017
19,1.3096584712249646,1.2879633064997398,0.5769927536231884,0.5805084745762712
20,1.3078082678974539,1.208040685976966,0.582427536231884,0.614406779661017
21,1.262527603170146,1.2674548959327956,0.5851449275362319,0.5932203389830508
22,1.2607813736666804,1.3487033359074996,0.5769927536231884,0.5508474576271186
23,1.2794220145197883,1.2243413551379059,0.5878623188405797,0.6059322033898306
24,1.249043047428131,1.2233050021074585,0.6023550724637681,0.5720338983050848
25,1.1897553775621497,1.2385577529163685,0.6023550724637681,0.597457627118644
