id,area_px,perimeter_px,circularity,bbox_w,bbox_h,cx,cy,dist_to_prev,angle_to_prev_deg
0,408.0,77.25483322143555,0.859050526819459,25,25,300.0,200.0,,
1,408.0,77.25483322143555,0.859050526819459,25,25,210.0,200.0,90.0,180.0
2,408.0,77.25483322143555,0.859050526819459,25,25,120.0,200.0,90.0,180.0
3,408.0,77.25483322143555,0.859050526819459,25,25,30.0,200.0,90.0,180.0
4,408.0,77.25483322143555,0.859050526819459,25,25,300.0,120.0,281.60255680657446,-16.504361381755018
5,408.0,77.25483322143555,0.859050526819459,25,25,210.0,120.0,90.0,180.0
6,408.0,77.25483322143555,0.859050526819459,25,25,120.0,120.0,90.0,180.0
7,408.0,77.25483322143555,0.859050526819459,25,25,30.0,120.0,90.0,180.0
8,408.0,77.25483322143555,0.859050526819459,25,25,300.0,40.0,281.60255680657446,-16.504361381755018
9,408.0,77.25483322143555,0.859050526819459,25,25,210.0,40.0,90.0,180.0
10,408.0,77.25483322143555,0.859050526819459,25,25,120.0,40.0,90.0,180.0
11,408.0,77.25483322143555,0.859050526819459,25,25,30.0,40.0,90.0,180.0
